Date (2020),District(s),Origin,Cases,Cases,Type of transmission,Source(s)
June-11,"Ernakulam (2), Idukki (4), Kannur (7), Kasargod (10), Kollam (8), Kottayam (2), Kozhikode (1), Malappuram (10), Palakkad (13), Pathanamthitta (5), Thrissur (25)",Delhi,7,2244,T,
June-11,"Ernakulam (2), Idukki (4), Kannur (7), Kasargod (10), Kollam (8), Kottayam (2), Kozhikode (1), Malappuram (10), Palakkad (13), Pathanamthitta (5), Thrissur (25)",Karnataka,4,2244,T,
June-11,"Ernakulam (2), Idukki (4), Kannur (7), Kasargod (10), Kollam (8), Kottayam (2), Kozhikode (1), Malappuram (10), Palakkad (13), Pathanamthitta (5), Thrissur (25)",Tamil Nadu,4,2244,T,
June-11,"Ernakulam (2), Idukki (4), Kannur (7), Kasargod (10), Kollam (8), Kottayam (2), Kozhikode (1), Malappuram (10), Palakkad (13), Pathanamthitta (5), Thrissur (25)",Madhya Pradesh,1,2244,T,
June-11,"Ernakulam (2), Idukki (4), Kannur (7), Kasargod (10), Kollam (8), Kottayam (2), Kozhikode (1), Malappuram (10), Palakkad (13), Pathanamthitta (5), Thrissur (25)",West Bengal,1,2244,T,
June-12,"Alappuzha (13), Ernakulam (5), Idukki (1), Kannur (3), Kasargod (4), Kollam (4), Kottayam (3), Kozhikode (4), Malappuram (14), Palakkad (5), Pathanamthitta (7), Thiruvananthapuram (1), Thrissur (14)",UAE,17,2244,T,[131]
June-12,"Alappuzha (13), Ernakulam (5), Idukki (1), Kannur (3), Kasargod (4), Kollam (4), Kottayam (3), Kozhikode (4), Malappuram (14), Palakkad (5), Pathanamthitta (7), Thiruvananthapuram (1), Thrissur (14)",Maharashtra,16,2244,T,[131]
June-12,"Alappuzha (13), Ernakulam (5), Idukki (1), Kannur (3), Kasargod (4), Kollam (4), Kottayam (3), Kozhikode (4), Malappuram (14), Palakkad (5), Pathanamthitta (7), Thiruvananthapuram (1), Thrissur (14)",Kuwait,12,2244,T,[131]
June-12,"Alappuzha (13), Ernakulam (5), Idukki (1), Kannur (3), Kasargod (4), Kollam (4), Kottayam (3), Kozhikode (4), Malappuram (14), Palakkad (5), Pathanamthitta (7), Thiruvananthapuram (1), Thrissur (14)",None,10,2244,PTP,[131]
June-12,"Alappuzha (13), Ernakulam (5), Idukki (1), Kannur (3), Kasargod (4), Kollam (4), Kottayam (3), Kozhikode (4), Malappuram (14), Palakkad (5), Pathanamthitta (7), Thiruvananthapuram (1), Thrissur (14)",Delhi,7,2244,T,[131]
June-12,"Alappuzha (13), Ernakulam (5), Idukki (1), Kannur (3), Kasargod (4), Kollam (4), Kottayam (3), Kozhikode (4), Malappuram (14), Palakkad (5), Pathanamthitta (7), Thiruvananthapuram (1), Thrissur (14)",Saudi Arabia,4,2244,T,[131]
June-12,"Alappuzha (13), Ernakulam (5), Idukki (1), Kannur (3), Kasargod (4), Kollam (4), Kottayam (3), Kozhikode (4), Malappuram (14), Palakkad (5), Pathanamthitta (7), Thiruvananthapuram (1), Thrissur (14)",Tamil Nadu,3,2244,T,[131]
June-12,"Alappuzha (13), Ernakulam (5), Idukki (1), Kannur (3), Kasargod (4), Kollam (4), Kottayam (3), Kozhikode (4), Malappuram (14), Palakkad (5), Pathanamthitta (7), Thiruvananthapuram (1), Thrissur (14)",Karnataka,2,2244,T,[131]
June-12,"Alappuzha (13), Ernakulam (5), Idukki (1), Kannur (3), Kasargod (4), Kollam (4), Kottayam (3), Kozhikode (4), Malappuram (14), Palakkad (5), Pathanamthitta (7), Thiruvananthapuram (1), Thrissur (14)",Oman,2,2244,T,[131]
June-12,"Alappuzha (13), Ernakulam (5), Idukki (1), Kannur (3), Kasargod (4), Kollam (4), Kottayam (3), Kozhikode (4), Malappuram (14), Palakkad (5), Pathanamthitta (7), Thiruvananthapuram (1), Thrissur (14)",Andhra Pradesh,1,2244,T,[131]
June-12,"Alappuzha (13), Ernakulam (5), Idukki (1), Kannur (3), Kasargod (4), Kollam (4), Kottayam (3), Kozhikode (4), Malappuram (14), Palakkad (5), Pathanamthitta (7), Thiruvananthapuram (1), Thrissur (14)",Maldives,1,2244,T,[131]
June-13,"Alappuzha (9), Ernakulam (7), Idukki (4), Kannur (14), Kasargod (9), Kottayam (1), Kozhikode (12), Malappuram (15), Palakkad (8), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Kuwait,21,2407,T,
June-13,"Alappuzha (9), Ernakulam (7), Idukki (4), Kannur (14), Kasargod (9), Kottayam (1), Kozhikode (12), Malappuram (15), Palakkad (8), Pathanamthitta (1), Thrissur (4), Wayanad (1)",UAE,16,2407,T,
June-13,"Alappuzha (9), Ernakulam (7), Idukki (4), Kannur (14), Kasargod (9), Kottayam (1), Kozhikode (12), Malappuram (15), Palakkad (8), Pathanamthitta (1), Thrissur (4), Wayanad (1)",None,10,2407,PTP,
June-13,"Alappuzha (9), Ernakulam (7), Idukki (4), Kannur (14), Kasargod (9), Kottayam (1), Kozhikode (12), Malappuram (15), Palakkad (8), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Saudi Arabia,7,2407,T,
June-13,"Alappuzha (9), Ernakulam (7), Idukki (4), Kannur (14), Kasargod (9), Kottayam (1), Kozhikode (12), Malappuram (15), Palakkad (8), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Maharashtra,6,2407,T,
June-13,"Alappuzha (9), Ernakulam (7), Idukki (4), Kannur (14), Kasargod (9), Kottayam (1), Kozhikode (12), Malappuram (15), Palakkad (8), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Tamil Nadu,5,2407,T,
June-13,"Alappuzha (9), Ernakulam (7), Idukki (4), Kannur (14), Kasargod (9), Kottayam (1), Kozhikode (12), Malappuram (15), Palakkad (8), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Dehi,4,2407,T,
June-13,"Alappuzha (9), Ernakulam (7), Idukki (4), Kannur (14), Kasargod (9), Kottayam (1), Kozhikode (12), Malappuram (15), Palakkad (8), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Oman,4,2407,T,
June-13,"Alappuzha (9), Ernakulam (7), Idukki (4), Kannur (14), Kasargod (9), Kottayam (1), Kozhikode (12), Malappuram (15), Palakkad (8), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Nigeria,3,2407,T,
June-13,"Alappuzha (9), Ernakulam (7), Idukki (4), Kannur (14), Kasargod (9), Kottayam (1), Kozhikode (12), Malappuram (15), Palakkad (8), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Russia,2,2407,T,
June-13,"Alappuzha (9), Ernakulam (7), Idukki (4), Kannur (14), Kasargod (9), Kottayam (1), Kozhikode (12), Malappuram (15), Palakkad (8), Pathanamthitta (1), Thrissur (4), Wayanad (1)",Rajasthan,1,2407,T,
June-13,"Alappuzha (9), Ernakulam (7), Idukki (4), Kannur (14), Kasargod (9), Kottayam (1), Kozhikode (12), Malappuram (15), Palakkad (8), Pathanamthitta (1), Thrissur (4), Wayanad (1)",West Bengal,1,2407,T,
June-14,"Ernakulam (7), Idukki (2), Kannur (4), Kasargod (6), Kollam (1), Kottayam (2), Kozhikode (8), Malappuram (2), Palakkad (6), Pathanamthitta (2), Thiruvananthapuram (4), Thrissur (7), Wayanad (1)",UAE,13,2461,T,
June-14,"Ernakulam (7), Idukki (2), Kannur (4), Kasargod (6), Kollam (1), Kottayam (2), Kozhikode (8), Malappuram (2), Palakkad (6), Pathanamthitta (2), Thiruvananthapuram (4), Thrissur (7), Wayanad (1)",Maharashtra,13,2461,T,
June-14,"Ernakulam (7), Idukki (2), Kannur (4), Kasargod (6), Kollam (1), Kottayam (2), Kozhikode (8), Malappuram (2), Palakkad (6), Pathanamthitta (2), Thiruvananthapuram (4), Thrissur (7), Wayanad (1)",Tamil Nadu,9,2461,T,
June-14,"Ernakulam (7), Idukki (2), Kannur (4), Kasargod (6), Kollam (1), Kottayam (2), Kozhikode (8), Malappuram (2), Palakkad (6), Pathanamthitta (2), Thiruvananthapuram (4), Thrissur (7), Wayanad (1)",None,6,2461,PTP,
June-14,"Ernakulam (7), Idukki (2), Kannur (4), Kasargod (6), Kollam (1), Kottayam (2), Kozhikode (8), Malappuram (2), Palakkad (6), Pathanamthitta (2), Thiruvananthapuram (4), Thrissur (7), Wayanad (1)",Saudi Arabia,5,2461,T,
June-14,"Ernakulam (7), Idukki (2), Kannur (4), Kasargod (6), Kollam (1), Kottayam (2), Kozhikode (8), Malappuram (2), Palakkad (6), Pathanamthitta (2), Thiruvananthapuram (4), Thrissur (7), Wayanad (1)",Nigeria,3,2461,T,
June-14,"Ernakulam (7), Idukki (2), Kannur (4), Kasargod (6), Kollam (1), Kottayam (2), Kozhikode (8), Malappuram (2), Palakkad (6), Pathanamthitta (2), Thiruvananthapuram (4), Thrissur (7), Wayanad (1)",Kuwait,2,2461,T,
June-14,"Ernakulam (7), Idukki (2), Kannur (4), Kasargod (6), Kollam (1), Kottayam (2), Kozhikode (8), Malappuram (2), Palakkad (6), Pathanamthitta (2), Thiruvananthapuram (4), Thrissur (7), Wayanad (1)",Delhi,1,2461,T,
June-14,"Ernakulam (7), Idukki (2), Kannur (4), Kasargod (6), Kollam (1), Kottayam (2), Kozhikode (8), Malappuram (2), Palakkad (6), Pathanamthitta (2), Thiruvananthapuram (4), Thrissur (7), Wayanad (1)",Haryana,1,2461,T,
June-14,"Ernakulam (7), Idukki (2), Kannur (4), Kasargod (6), Kollam (1), Kottayam (2), Kozhikode (8), Malappuram (2), Palakkad (6), Pathanamthitta (2), Thiruvananthapuram (4), Thrissur (7), Wayanad (1)",Karnataka,1,2461,T,
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",UAE,19,2543,T,[132]
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",Maharashtra,13,2543,T,[132]
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",Kuwait,12,2543,T,[132]
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",None,9,2543,PTP,[132]
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",Saudi Arabia,9,2543,T,[132]
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",Qatar,5,2543,T,[132]
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",Tamil Nadu,4,2543,T,[132]
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",Delhi,3,2543,T,[132]
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",Nigeria,2,2543,T,[132]
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",Oman,2,2543,T,[132]
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",Rajasthan,1,2543,T,[132]
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",Telangana,1,2543,T,[132]
June-15,"Alappuzha (5), Ernakulam (13), Idukki (2), Kannur (10), Kasargod (3), Kollam (4), Kottayam (10), Kozhikode (6), Malappuram (6), Palakkad (7), Pathanamthitta (11), Thiruvananthapuram (1), Thrissur (3), Wayanad (1)",West Bengal,1,2543,T,[132]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",Kuwait,23,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",Maharashtra,13,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",UAE,12,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",None,6,2622,PTP,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",Qatar,5,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",Tamil Nadu,4,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",Delhi,3,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",Oman,3,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",Saudi Arabia,2,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",West Bengal,2,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",Bahrain,1,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",Gujarat,1,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",Karnataka,1,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",Odisha,1,2622,T,[133]
June-16,"Alappuzha (7), Ernakulam (13), Kannur (7), Kasargod (2), Kollam (4), Kottayam (4), Kozhikode (6), Malappuram (15), Palakkad (6), Pathanamthitta (6), Thiruvananthapuram (4), Thrissur (7)",Tajikistan,1,2622,T,[133]
June-17,"Alappuzha (1), Ernakulam (5), Kannur (4), Kasargod (9), Kollam (14), Kottayam (4), Kozhikode (6), Malappuram (11), Palakkad (6), Pathanamthitta (1), Thiruvananthapuram (3), Thrissur (8), Wayanad (3)",Overseas,53,2697,T,
June-17,"Alappuzha (1), Ernakulam (5), Kannur (4), Kasargod (9), Kollam (14), Kottayam (4), Kozhikode (6), Malappuram (11), Palakkad (6), Pathanamthitta (1), Thiruvananthapuram (3), Thrissur (8), Wayanad (3)",Maharashtra,8,2697,T,
June-17,"Alappuzha (1), Ernakulam (5), Kannur (4), Kasargod (9), Kollam (14), Kottayam (4), Kozhikode (6), Malappuram (11), Palakkad (6), Pathanamthitta (1), Thiruvananthapuram (3), Thrissur (8), Wayanad (3)",Tamil Nadu,4,2697,T,
June-17,"Alappuzha (1), Ernakulam (5), Kannur (4), Kasargod (9), Kollam (14), Kottayam (4), Kozhikode (6), Malappuram (11), Palakkad (6), Pathanamthitta (1), Thiruvananthapuram (3), Thrissur (8), Wayanad (3)",None,3,2697,PTP,
June-17,"Alappuzha (1), Ernakulam (5), Kannur (4), Kasargod (9), Kollam (14), Kottayam (4), Kozhikode (6), Malappuram (11), Palakkad (6), Pathanamthitta (1), Thiruvananthapuram (3), Thrissur (8), Wayanad (3)",Delhi,5,2697,T,
June-17,"Alappuzha (1), Ernakulam (5), Kannur (4), Kasargod (9), Kollam (14), Kottayam (4), Kozhikode (6), Malappuram (11), Palakkad (6), Pathanamthitta (1), Thiruvananthapuram (3), Thrissur (8), Wayanad (3)",Andhra Pradesh,1,2697,T,
June-17,"Alappuzha (1), Ernakulam (5), Kannur (4), Kasargod (9), Kollam (14), Kottayam (4), Kozhikode (6), Malappuram (11), Palakkad (6), Pathanamthitta (1), Thiruvananthapuram (3), Thrissur (8), Wayanad (3)",Gujarat,1,2697,T,
June-18,"Alappuzha (9), Ernakulam (6), Idukki (6), Kannur (4), Kollam (13), Kottayam (11), Kozhikode (5), Malappuram (4), Palakkad (14), Pathanamthitta (11), Thiruvananthapuram (5), Thrissur (6)",Overseas,65,2794,T,
June-18,"Alappuzha (9), Ernakulam (6), Idukki (6), Kannur (4), Kollam (13), Kottayam (11), Kozhikode (5), Malappuram (4), Palakkad (14), Pathanamthitta (11), Thiruvananthapuram (5), Thrissur (6)",Other states,29,2794,T,
June-18,"Alappuzha (9), Ernakulam (6), Idukki (6), Kannur (4), Kollam (13), Kottayam (11), Kozhikode (5), Malappuram (4), Palakkad (14), Pathanamthitta (11), Thiruvananthapuram (5), Thrissur (6)",None,3,2794,PTP,
June-19,"Alappuzha (13), Ernakulam (11), Idukki (2), Kannur (8), Kasargod (4), Kollam (17), Kottayam (7), Kozhikode (6), Malappuram (18), Palakkad (10), Pathanamthitta (9), Thiruvananthapuram (8), Thrissur (1), Wayanad (4)",Overseas,67,2794,T,
June-19,"Alappuzha (13), Ernakulam (11), Idukki (2), Kannur (8), Kasargod (4), Kollam (17), Kottayam (7), Kozhikode (6), Malappuram (18), Palakkad (10), Pathanamthitta (9), Thiruvananthapuram (8), Thrissur (1), Wayanad (4)",Other states,45,2794,T,
June-19,"Alappuzha (13), Ernakulam (11), Idukki (2), Kannur (8), Kasargod (4), Kollam (17), Kottayam (7), Kozhikode (6), Malappuram (18), Palakkad (10), Pathanamthitta (9), Thiruvananthapuram (8), Thrissur (1), Wayanad (4)",None,6,2794,PTP,
June-20,"Alappuzha (4), Ernakulam (3), Idukki (1), Kannur (4), Kasargod (7), Kollam (24), Kottayam (11), Kozhikode (12), Malappuram (5), Palakkad (23), Pathanamthitta (17), Thiruvananthapuram (5), Thrissur (6), Wayanad (5)",Overseas,87,3039,T,
June-20,"Alappuzha (4), Ernakulam (3), Idukki (1), Kannur (4), Kasargod (7), Kollam (24), Kottayam (11), Kozhikode (12), Malappuram (5), Palakkad (23), Pathanamthitta (17), Thiruvananthapuram (5), Thrissur (6), Wayanad (5)",Other states,36,3039,T,
June-20,"Alappuzha (4), Ernakulam (3), Idukki (1), Kannur (4), Kasargod (7), Kollam (24), Kottayam (11), Kozhikode (12), Malappuram (5), Palakkad (23), Pathanamthitta (17), Thiruvananthapuram (5), Thrissur (6), Wayanad (5)",None,3,3039,PTP,
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Kuwait,35,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Saudi Arabia,18,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Tamil Nadu,17,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Maharashtra,16,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",UAE,13,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",None,10,3172,PTP,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Bahrain,5,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Oman,5,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Delhi,3,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Gujarat,2,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Uttar Pradesh,2,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Qatar,2,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",West Bengal,2,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Djibouti,1,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Egypt,1,3172,T,[134]
June-21,"Alappuzha (10), Ernakulam (5), Idukki (11), Kannur (10), Kasargod (6), Kollam (13), Kottayam (10), Kozhikode (10), Malappuram (10), Palakkad (15), Pathanamthitta (8), Thiruvananthapuram (9), Thrissur (16)",Haryana,1,3172,T,[134]
June-22,"Alappuzha (12), Ernakulam (14), Idukki (4), Kannur (3), Kasargod (9), Kollam (13), Kottayam (13), Kozhikode (5), Malappuram (17), Palakkad (16), Pathanamthitta (4), Thiruvananthapuram (11), Thrissur (12), Wayanad (5)",Kuwait,43,3310,T,[135]
June-22,"Alappuzha (12), Ernakulam (14), Idukki (4), Kannur (3), Kasargod (9), Kollam (13), Kottayam (13), Kozhikode (5), Malappuram (17), Palakkad (16), Pathanamthitta (4), Thiruvananthapuram (11), Thrissur (12), Wayanad (5)",Maharashtra,18,3310,T,[135]
June-22,"Alappuzha (12), Ernakulam (14), Idukki (4), Kannur (3), Kasargod (9), Kollam (13), Kottayam (13), Kozhikode (5), Malappuram (17), Palakkad (16), Pathanamthitta (4), Thiruvananthapuram (11), Thrissur (12), Wayanad (5)",Qatar,14,3310,T,[135]
June-22,"Alappuzha (12), Ernakulam (14), Idukki (4), Kannur (3), Kasargod (9), Kollam (13), Kottayam (13), Kozhikode (5), Malappuram (17), Palakkad (16), Pathanamthitta (4), Thiruvananthapuram (11), Thrissur (12), Wayanad (5)",UAE,14,3310,T,[135]
June-22,"Alappuzha (12), Ernakulam (14), Idukki (4), Kannur (3), Kasargod (9), Kollam (13), Kottayam (13), Kozhikode (5), Malappuram (17), Palakkad (16), Pathanamthitta (4), Thiruvananthapuram (11), Thrissur (12), Wayanad (5)",Tamil Nadu,12,3310,T,[135]
June-22,"Alappuzha (12), Ernakulam (14), Idukki (4), Kannur (3), Kasargod (9), Kollam (13), Kottayam (13), Kozhikode (5), Malappuram (17), Palakkad (16), Pathanamthitta (4), Thiruvananthapuram (11), Thrissur (12), Wayanad (5)",Delhi,10,3310,T,[135]
June-22,"Alappuzha (12), Ernakulam (14), Idukki (4), Kannur (3), Kasargod (9), Kollam (13), Kottayam (13), Kozhikode (5), Malappuram (17), Palakkad (16), Pathanamthitta (4), Thiruvananthapuram (11), Thrissur (12), Wayanad (5)",Saudi Arabia,9,3310,T,[135]
